date,open,high,low,close,volume,oi
06/02/2003,13441.01,13504.51,13211.75,13228.78,0,0
06/03/2003,13230.58,13350.11,13106.19,13350.11,0,0
06/04/2003,13386.02,13760.37,13374.32,13718.08,0,0
06/05/2003,13689.89,13908.09,13588.16,13779.88,0,0
06/06/2003,13794.02,14071.32,13794.02,13923.11,0,0
06/09/2003,13926.43,13978.96,13809.68,13845.73,0,0
06/10/2003,13868.98,14072.35,13808.32,13893.73,0,0
06/11/2003,13898.48,13930.24,13720.84,13876.52,0,0
06/12/2003,13901.31,14007.13,13738.47,13982.72,0,0
06/13/2003,13980.43,14047.19,13677.4,13733.7,0,0
06/16/2003,13736.86,13963.04,13696.55,13832.86,0,0
06/17/2003,13843.07,13973.22,13731.68,13776.63,0,0
06/18/2003,13789.86,13889.6,13372.18,13510.5,0,0
06/20/2003,13514.12,13514.12,13104.87,13130.96,0,0
06/23/2003,13132.44,13273.37,12894.51,12991.28,0,0
06/24/2003,12993.09,13204.18,12993.09,13108.41,0,0
06/25/2003,13109.69,13285.9,13014.57,13025.71,0,0
06/26/2003,13030.5,13237.32,13030.03,13111.71,0,0
06/27/2003,13111.64,13193.34,12975.73,13024.12,0,0
06/30/2003,13026.68,13066.32,12930.17,12972.58,0,0
07/01/2003,12967.27,13291.1,12893.22,13291.1,0,0
07/02/2003,13291.87,13376.36,13239.59,13310.47,0,0
07/03/2003,13307.92,13308.74,13134.41,13134.41,0,0
07/04/2003,13134.64,13292.14,13067.44,13273.65,0,0
07/07/2003,13273.65,13444.07,13272.91,13402.01,0,0
07/08/2003,13401.37,13618.8,13338.81,13618.8,0,0
07/10/2003,13622.27,13622.27,13407.4,13501.29,0,0
07/11/2003,13498.29,13522.49,13287.16,13320.58,0,0
07/14/2003,13322.33,13634.93,13322.33,13588.14,0,0
07/15/2003,13592.81,13735.72,13567.94,13614.1,0,0
07/16/2003,13612.5,13633.18,13434.58,13487.24,0,0
07/17/2003,13486.65,13635.67,13359.89,13622.29,0,0
07/18/2003,13622.29,13809.31,13622.29,13794.26,0,0
07/21/2003,13794.26,13859.19,13675.85,13675.85,0,0
07/22/2003,13675.85,13867.27,13671.17,13835.2,0,0
07/23/2003,13851.68,13942.2,13755.27,13798.79,0,0
07/24/2003,13799.4,13946.96,13754.95,13761.1,0,0
07/25/2003,13761.13,13867.76,13660.69,13750.36,0,0
07/28/2003,13751.59,13783.49,13604.77,13643.37,0,0
07/29/2003,13651.76,13703.77,13576.5,13623.34,0,0
07/30/2003,13623.34,13697.69,13452.78,13474.58,0,0
07/31/2003,13475.46,13615.31,13475.46,13571.73,0,0
08/01/2003,13578.72,13578.72,13129.81,13129.81,0,0
08/04/2003,13127.81,13127.81,12756.58,12938.85,0,0
08/05/2003,12940.09,13112.34,12940.09,13059.27,0,0
08/06/2003,13060.45,13188.17,12839.31,12887.73,0,0
08/07/2003,12891.94,13350.14,12891.94,13328.37,0,0
08/08/2003,13332.62,13513.34,13332.62,13499.97,0,0
08/11/2003,13499.83,13547.33,13442.22,13485.46,0,0
08/12/2003,13558.5,13765.72,13553.03,13602.41,0,0
08/13/2003,13597.18,13857.57,13541.94,13682.25,0,0
08/14/2003,13683.02,13848.91,13528.94,13815.59,0,0
08/15/2003,13809.86,13951.58,13744.08,13889.57,0,0
08/18/2003,13900.2,14146.62,13900.2,14146.29,0,0
08/19/2003,14146.69,14235.87,14091.02,14157.94,0,0
08/20/2003,14157.8,14505.97,14057.81,14466.9,0,0
08/21/2003,14469.56,14686.71,14398.48,14669.91,0,0
08/22/2003,14669.91,14764.5,14588.5,14613.03,0,0
08/25/2003,14613.03,14713.72,14425.72,14473.17,0,0
08/26/2003,14474.66,14947.79,14425.06,14870.36,0,0
08/27/2003,14875.7,15131.29,14875.7,15131.29,0,0
08/28/2003,15151.27,15252.36,14928.74,15064.56,0,0
08/29/2003,15064.56,15196.76,14856.62,15180.71,0,0
09/01/2003,15174.49,15374.12,15074.71,15352.12,0,0
09/02/2003,15352.12,15474.58,15320.74,15454.31,0,0
09/03/2003,15454.76,15690.32,15454.76,15633.8,0,0
09/04/2003,15634.54,15884.35,15564.45,15704,0,0
09/05/2003,15706.67,15951.27,15610.05,15899.64,0,0
09/08/2003,15904.35,16238.63,15894.73,16050.22,0,0
09/09/2003,16051.01,16062.18,15699.17,15718.3,0,0
09/10/2003,15716.37,15997.06,15491.83,15983.27,0,0
09/11/2003,15985.45,16234.02,15985.45,16159.43,0,0
09/12/2003,16283.11,16508.38,16058.26,16421.35,0,0
09/15/2003,16422.77,16600.92,16277.22,16341.75,0,0
09/16/2003,16353.72,16496.36,16257.56,16269.58,0,0
09/17/2003,16279.79,16492.38,16225.19,16492.38,0,0
09/18/2003,16492.38,16910.69,16423.66,16889.41,0,0
09/19/2003,16889.82,17104.03,16822.23,16851.49,0,0
09/22/2003,16850.33,16850.33,16449.64,16485.6,0,0
09/23/2003,16488.29,16541.94,16225.59,16443.53,0,0
09/24/2003,16446.22,16636.35,16052.83,16057.85,0,0
09/25/2003,16058.08,16203.16,15775.44,15806.02,0,0
09/26/2003,15807.47,16112.54,15773.47,15810.66,0,0
09/29/2003,15809.86,16115.13,15767.88,16108.73,0,0
09/30/2003,16108.79,16286.68,16009.95,16010.67,0,0
10/01/2003,16009.83,16609.45,16009.83,16578.74,0,0
10/02/2003,16581.79,17070.14,16581.79,16893.61,0,0
10/03/2003,16898.4,17290.2,16898.4,17089.3,0,0
10/06/2003,17089.57,17345.58,17026.05,17273.38,0,0
10/07/2003,17278.45,17537.34,17134.18,17470.14,0,0
10/08/2003,17474,17952.11,17474,17804.8,0,0
10/09/2003,17804.8,18060.14,17553.46,17708.17,0,0
10/10/2003,17698.85,17833.6,17495.56,17676.14,0,0
10/13/2003,17676.16,18074.66,17676.16,18061.94,0,0
10/14/2003,18063.1,18245.67,18063.1,18178.01,0,0
10/15/2003,18175.62,18313,17818.72,17942.04,0,0
10/16/2003,17944.37,18075.41,17833.52,17955.04,0,0
10/17/2003,17922.79,17945.96,17678.96,17790.71,0,0
10/20/2003,17790.71,18399.47,17770.04,18369.59,0,0
10/21/2003,18369.96,18659.96,18369.96,18448.72,0,0
10/22/2003,18448.72,18448.72,18220.95,18234.83,0,0
10/23/2003,18234.62,18234.62,17592.48,17689.81,0,0
10/24/2003,17686.68,17835.04,17340.41,17813.91,0,0
10/27/2003,17819.59,17964.07,17663.62,17750.48,0,0
10/28/2003,17750.48,18227.64,17691.47,18227.64,0,0
10/29/2003,18227.64,18454.28,17944.84,17944.84,0,0
10/30/2003,17944.91,18192.51,17730.78,18093.83,0,0
10/31/2003,18094.98,18217.71,17911.81,17982.49,0,0
11/03/2003,17982.8,18517.16,17982.8,18517.16,0,0
11/04/2003,18519.19,18713.8,18456.33,18541.18,0,0
11/05/2003,18544.83,18562.75,18266.94,18307.06,0,0
11/06/2003,18307.06,18679.6,18307.06,18612.96,0,0
11/07/2003,18613.82,18906.57,18613.82,18672.19,0,0
11/10/2003,18672.19,18724.84,18434.83,18572.29,0,0
11/11/2003,18571.53,18572.36,18260.91,18408.62,0,0
11/12/2003,18408.55,18812.18,18352.29,18793.54,0,0
11/13/2003,18794.6,19115.22,18676.96,18754.55,0,0
11/14/2003,18763.47,19051.96,18711.69,18985.87,0,0
11/17/2003,18984.66,18984.66,18648.48,18668.71,0,0
11/18/2003,18668.71,19021.52,18668.71,18812.97,0,0
11/19/2003,18819.25,18857.35,18610.34,18807.34,0,0
11/20/2003,18815.04,19261.5,18815.04,19199.14,0,0
11/21/2003,19197.42,19376.07,19143.72,19248.39,0,0
11/24/2003,19257.94,19729.77,19257.94,19690.54,0,0
11/25/2003,19694.16,19820.07,19615.37,19809.89,0,0
11/26/2003,19809.89,20001.89,19667.08,19694,0,0
11/27/2003,19694.56,19960.77,19615.91,19960.77,0,0
11/28/2003,19962.23,20187.96,19848.33,20183.97,0,0
12/01/2003,20183.97,20522.14,20183.97,20520.6,0,0
12/02/2003,20523.05,20629.68,20354.41,20458.49,0,0
12/03/2003,20462.02,20586.22,20322.25,20539.6,0,0
12/04/2003,20539.6,20570.16,20322.67,20414.17,0,0
12/05/2003,20418.21,20922.43,20418.21,20879.81,0,0
12/08/2003,20882.27,20937.16,20672.57,20888.91,0,0
12/09/2003,20889.09,21362.94,20889.09,21259.75,0,0
12/10/2003,21258.45,21394.27,20995.3,21054.07,0,0
12/11/2003,20970.78,21459.07,20970.78,21277.48,0,0
12/12/2003,21296.3,21513.77,20872.82,20973.94,0,0
12/15/2003,20973.94,21381.37,20709.24,20709.75,0,0
12/16/2003,20709.75,20842.43,20544.24,20759.56,0,0
12/17/2003,20763.46,21317.95,20763.46,21199.27,0,0
12/18/2003,21199.27,21502.15,21195.23,21489.27,0,0
12/19/2003,21488.65,21671.36,21381.31,21385.54,0,0
12/22/2003,21385.54,21630.23,21344.08,21630.23,0,0
12/23/2003,21630.95,21913.59,21630.95,21688.4,0,0
12/26/2003,21688.4,21828.6,21688.33,21806.57,0,0
12/29/2003,21815.17,22046.46,21815.17,22045.48,0,0
12/30/2003,22050.86,22310.27,22050.86,22236.39,0,0
01/02/2004,22232.53,22449.93,22208.32,22444.71,0,0
01/05/2004,22444.71,23531.74,22444.71,23531.74,0,0
